PERID,Criminal
66583679,0
35494679,0
79424679,0
11744679,0
31554679,0
83164679,0
58474679,0
40695779,0
39315779,0
58415779,0
23535779,0
67275779,0
93485779,0
29546779,0
97556779,0
37797779,0
36607779,0
61727779,0
20827779,0
52437779,0
87267779,0
33287779,0
30398779,0
98598779,0
41818779,0
69638779,0
25748779,0
75368779,0
99968779,0
91578779,0
51909779,0
69109779,0
71529779,0
19729779,0
85129779,0
73849779,0
71049779,0
47259779,0
23890779,0
19000779,0
89810779,0
78720779,0
37630779,0
51940779,0
19760779,0
47580779,0
14880779,0
27391779,0
59191779,0
22411779,0
69331779,0
41131779,0
18381779,0
17002779,0
21222779,0
92122779,0
43542779,0
91552779,0
38852779,0
71362779,0
89372779,0
41172779,0
22882779,0
77193779,0
92213779,0
11313779,0
86433779,0
71933779,0
22353779,0
63063779,0
62783779,0
82304779,0
50504779,0
39224779,0
92924779,0
22444779,0
61544779,0
27374779,0
76474779,0
93774779,0
43335879,0
43045879,0
67455879,0
21675879,0
37546879,0
59156879,0
63566879,0
53376879,0
49776879,0
90297879,0
37737879,0
47257879,0
99057879,0
97067879,0
31477879,0
71287879,0
67208879,0
71618879,0
40338879,0
67348879,0
44458879,0
17588879,0
25309879,0
54549879,0
25069879,0
69289879,0
91890879,0
67000879,0
92310879,0
61410879,0
74920879,0
51030879,0
77140879,0
17570879,0
92691879,0
17711879,0
66621879,0
35721879,0
71451879,0
43061879,0
70171879,0
93681879,0
90262879,0
48272879,0
38082879,0
34293879,0
67993879,0
23103879,0
81113879,0
75333879,0
20833879,0
51253879,0
16753879,0
35473879,0
39694879,0
90304879,0
59404879,0
96704879,0
10924879,0
72244879,0
22054879,0
11964879,0
99164879,0
22674879,0
31584879,0
58495979,0
79105979,0
16215979,0
43515979,0
18825979,0
73135979,0
85455979,0
95265979,0
33465979,0
24985979,0
17206979,0
72326979,0
81426979,0
90526979,0
68726979,0
11236979,0
34266979,0
29386979,0
31997979,0
33507979,0
39907979,0
11517979,0
74027979,0
30237979,0
11087979,0
75208979,0
18528979,0
37148979,0
14258979,0
81558979,0
25588979,0
81988979,0
41939979,0
19659979,0
56579979,0
33879979,0
13689979,0
12590979,0
21690979,0
39410979,0
33150979,0
22060979,0
77370979,0
55570979,0
41970979,0
19170979,0
44480979,0
53101979,0
77511979,0
19931979,0
66941979,0
71251979,0
84761979,0
80161979,0
87892979,0
90442979,0
75942979,0
14042979,0
79352979,0
49162979,0
73382979,0
99782979,0
36082979,0
83193979,0
74613979,0
66223979,0
21533979,0
91243979,0
35463979,0
21294979,0
33094979,0
85604979,0
69014979,0
50724979,0
97544979,0
28684979,0
80095079,0
26635079,0
99855079,0
10565079,0
99616079,0
57626079,0
77386079,0
14207079,0
77527079,0
36437079,0
24347079,0
61647079,0
75057079,0
67477079,0
13208079,0
24108079,0
66338079,0
38138079,0
71548079,0
56858079,0
59368079,0
33778079,0
61978079,0
68229079,0
97329079,0
45049079,0
63059079,0
19269079,0
81879079,0
49690079,0
35090079,0
11010079,0
97220079,0
69350079,0
55180079,0
57311079,0
31051079,0
20961079,0
79871079,0
99492079,1
14702079,0
12522079,0
53182079,0
15793079,0
15503079,0
98013079,0
77923079,0
13653079,0
49053079,0
29483079,0
57683079,0
91094079,0
23604079,0
16114079,0
77634079,0
47344079,0
14454079,0
73364079,0
60664079,0
67964079,0
40474079,0
66684079,0
84635189,0
39655189,0
61265189,0
95865189,0
75675189,0
21075189,0
30506189,1
16716189,0
67236189,0
19036189,0
97946189,0
66856189,0
83156189,0
87566189,0
62066189,0
28276189,0
84676189,0
35197189,0
33107189,0
65527189,0
69937189,0
89647189,0
56947189,0
14957189,0
63487189,0
13008189,0
70118189,0
57228189,0
60738189,0
58648189,0
23148189,0
15568189,0
19168189,0
70688189,0
12009189,0
97939189,0
85139189,0
27459189,0
11059189,0
80969189,0
65089189,0
85410189,0
39340189,0
65740189,0
21140189,0
17350189,0
99770189,0
61901189,0
70811189,0
89911189,0
66831189,0
24031189,0
96351189,0
75881189,0
41092189,0
81802189,0
11612189,0
69432189,0
37632189,0
46732189,0
25352189,0
75162189,0
49382189,0
74023189,0
82033189,0
14353189,0
24304189,0
27004189,0
45014189,0
73164189,0
23395289,0
64815289,0
53535289,0
97135289,0
35665289,0
10596289,0
69216289,0
12916289,0
49026289,0
51346289,0
76656289,0
21586289,0
93197289,0
41107289,0
77127289,0
13667289,0
68167289,0
12577289,0
19687289,0
11298289,0
89208289,0
81628289,0
39828289,0
53238289,0
65558289,0
23758289,0
82858289,0
25368289,0
24468289,0
67168289,0
63188289,0
63329289,0
33279289,0
15889289,0
34989289,0
57490289,0
23410289,0
49620289,0
29140289,0
67150289,0
23360289,0
48860289,0
45160289,0
29191289,0
32601289,0
40611289,0
13931289,0
41131289,0
82551289,0
99851289,0
67051289,0
96771289,0
61602289,0
84112289,0
33832289,0
53972289,0
16482289,0
54682289,0
43782289,0
63593289,0
47193289,0
52213289,0
64823289,0
29653289,0
84773289,0
47283289,0
49894289,0
23204289,0
85004289,0
71214289,0
64914289,0
82734289,0
89364289,0
21974289,0
55384289,0
67184289,0
18215389,0
11915389,0
16365389,0
26175389,0
42385389,0
45606389,0
47216389,0
25416389,0
62716389,0
59016389,0
19397389,0
94897389,0
79917389,0
88017389,0
67117389,0
31667389,0
89677389,0
64177389,0
56787389,0
49008389,0
18248389,0
42468389,0
88678389,0
26688389,0
13799389,0
66209389,0
37109389,0
52229389,0
79529389,0
82369389,0
57869389,0
67290389,0
59800389,0
26910389,0
47620389,0
41030389,0
72450389,0
92260389,0
33160389,0
54680389,0
75531389,0
97851389,0
45051389,0
76761389,0
82161389,0
28992389,0
34102389,0
79412389,0
76712389,0
79222389,0
54532389,0
80642389,0
99362389,0
39172389,0
45382389,0
55903389,0
34623389,0
32823389,0
53533389,0
32633389,0
59453389,0
93863389,0
43004389,0
97224389,0
73434389,0
27034389,0
79974389,0
76084389,0
49105489,0
58345489,0
25455489,0
55265489,0
19865489,0
89675489,0
34796489,0
63416489,0
13226489,0
61946489,0
83366489,0
61376489,0
86876489,0
55117489,0
50237489,0
47537489,0
79047489,0
84357489,0
78957489,0
83267489,0
99098489,0
59618489,0
37818489,0
35018489,0
83838489,0
72938489,0
71038489,0
15348489,0
22268489,0
69378489,0
53599489,0
21799489,0
89709489,0
78239489,0
65249489,0
49849489,0
19469489,0
63200489,0
57800489,0
20310489,0
29550489,0
17750489,0
73960489,0
85570489,0
39170489,0
13580489,0
38080489,0
36091489,0
12341489,0
99641489,0
27651489,0
33861489,0
63671489,0
57892489,0
66992489,0
49022489,0
50442489,0
79542489,0
70252489,0
35372489,0
84472489,0
22813489,0
77933489,0
56553489,0
23853489,0
40963489,0
50773489,0
91483489,0
85894489,0
53094489,0
65414489,0
97834489,0
30244489,0
43184489,0
17395589,0
83795589,0
84405589,0
56015589,0
92035589,0
34545589,0
43075589,0
75685589,0
23885589,0
25496589,0
34596589,0
13216589,0
65636589,0
51746589,0
67146589,0
65397589,0
30227589,0
19327589,0
50747589,0
13877589,0
99087589,0
39418589,0
77618589,0
73828589,0
81358589,0
20699589,0
95199589,0
83869589,0
31069589,0
22390589,0
61200589,0
37600589,0
75750589,0
79591589,0
61101589,0
18211589,0
87641589,0
95461589,0
28161589,0
13471589,0
49202589,0
43802589,0
61812589,0
53422589,0
57022589,0
34272589,0
27972589,0
11382589,0
69582589,0
60293589,0
83993589,0
16403589,0
98013589,0
44223589,0
65643589,0
51663589,0
83083589,0
23414589,0
90714589,0
36114589,0
66734589,0
91944589,0
22654589,0
65974589,0
20284589,0
45784589,0
53984589,0
41695689,0
97805689,0
21025689,0
46045689,0
73965689,0
20075689,0
83536689,0
15046689,0
22156689,0
71066689,0
23486689,0
13297689,0
20307689,0
57227689,0
93437689,0
36847689,0
67367689,0
47177689,0
45187689,0
93198689,0
53908689,0
73528689,0
17128689,0
71248689,0
85848689,0
53858689,0
42578689,0
11488689,0
69499689,0
21629689,0
78739689,0
93949689,0
88259689,0
43569689,0
99969689,0
88069689,0
33189689,0
47300689,0
89100689,0
50430689,0
49530689,0
44550689,0
12560689,0
99621689,0
76731689,0
34931689,0
37341689,0
64641689,0
87151689,0
43361689,0
86061689,0
75971689,0
33981689,0
85592689,0
51992689,0
91322689,0
48622689,0
15922689,0
63932689,0
21272689,0
37672689,0
62172689,0
49613689,0
51223689,0
77623689,0
68663689,0
35394689,0
87194689,0
80604689,0
79704689,0
34014689,0
85534689,0
35864689,0
63684689,0
79405789,0
83625789,0
61825789,0
33435789,0
12245789,0
94855789,0
19975789,0
61585789,0
25185789,0
48216789,0
43716789,0
91536789,0
17936789,0
65846789,0
41486789,0
89497789,0
45897789,0
80917789,0
85227789,0
89827789,0
67027789,0
34277789,0
46887789,0
22098789,0
45508789,0
39108789,0
59868789,0
29009789,0
48539789,0
46739789,0
87349789,0
49149789,0
87969789,0
31379789,0
76879789,0
39389789,0
83120789,0
83930789,0
89040789,0
46150789,0
65060789,0
31270789,0
84780789,0
67291789,0
74591789,0
67001789,0
99941789,0
71361789,0
73781789,0
13302789,0
49702789,0
57902789,0
46622789,0
23442789,0
29652789,0
49462789,0
27662789,0
29082789,0
13493789,0
70793789,0
69223789,0
76523789,0
55433789,0
45143789,0
21163789,0
66283789,0
39983789,0
32204789,0
69644789,0
78364789,0
29074789,0
68595889,0
45745889,0
41955889,0
84465889,0
77165889,0
27785889,0
93326889,0
70626889,0
46307889,0
51807889,0
27827889,0
77637889,0
32657889,0
38867889,0
11708889,0
71518889,0
65928889,0
47538889,0
89668889,0
45829889,0
78479889,0
71179889,0
29700889,0
48610889,0
78420889,0
37520889,0
33250889,0
74770889,0
43491889,0
19891889,0
13201889,0
71401889,0
89411889,0
26711889,0
45811889,0
25621889,0
63821889,0
41021889,0
93631889,0
31831889,0
71541889,0
30641889,0
67941889,0
83151889,0
88461889,0
59171889,0
25381889,0
49981889,0
69792889,0
61302889,0
69502889,0
41732889,0
37132889,0
86942889,0
61682889,0
73293889,0
72393889,0
61013889,0
63433889,0
37743889,0
85943889,0
91773889,0
39594889,0
47794889,0
35994889,0
77934889,0
45134889,0
80344889,0
52144889,0
23854889,0
66364889,0
48164889,0
35274889,0
12384889,0
87884889,0
75084889,0
77495989,0
79815989,0
63035989,0
98055989,0
50665989,1
63985989,0
32085989,0
41185989,0
12896989,0
53316989,0
47916989,0
45736989,0
37246989,0
39286989,0
43886989,0
95497989,0
19807989,0
55017989,0
37627989,0
59237989,0
19567989,0
27577989,0
56677989,0
87387989,0
86298989,0
95398989,0
93308989,0
12408989,0
36628989,0
85728989,0
20038989,0
90558989,0
86578989,0
53878989,0
61078989,0
73499989,0
11409989,0
26909989,0
50319989,0
45190989,0
19500989,0
65900989,0
87320989,0
84430989,0
93240989,0
55660989,0
47270989,0
25470989,0
79351989,0
91151989,0
64471989,0
83571989,0
61771989,0
41581989,0
85181989,0
45512989,0
32622989,0
47932989,0
15652989,0
64752989,0
43852989,0
23662989,0
76982989,0
27543989,0
63563989,0
80863989,0
67783989,0
99394989,0
27304989,0
46404989,0
52614989,0
81714989,0
77114989,0
47734989,0
96834989,0
33134989,0
75454989,0
31854989,0
79864989,0
57295089,0
14925089,0
76245089,0
69755089,0
88855089,0
87575089,0
80085089,0
44496089,0
82696089,0
61316089,0
42026089,0
60036089,0
48756089,0
81266089,0
69276089,0
33876089,0
45297089,0
43497089,0
82597089,0
21697089,0
30317089,0
19227089,0
57427089,0
43347089,0
59747089,0
65957089,0
83728089,0
15668089,0
52778089,0
95099089,0
91209089,0
32109089,0
87229089,0
64529089,0
53629089,0
63439089,0
68459089,0
56469089,0
23769089,0
19979089,0
37989089,0
75189089,0
14800089,0
66220089,0
89920089,0
18830089,0
47450089,0
15270089,0
20391089,0
50721089,0
91431089,0
60241089,0
53561089,0
57161089,0
83181089,0
27592089,0
27302089,0
65502089,0
69722089,0
37922089,0
45642089,0
63652089,0
70952089,0
11472089,0
23082089,0
21423089,0
49143089,0
